Scheme Name,Net Asset Value 
Sundaram Banking and PSU Debt Fund Direct Plan - Growth,37.1507 
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5989 
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus,18.5268 
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.3550 
Sundaram Banking and PSU Debt Fund Regular Plan - Growth,36.7396 
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.6511 
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1057 
Sundaram Banking and PSU Debt Fund Retail Plan - Growth,33.1102 
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5553 
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment,11.6582 
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option ,12.5479 
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.5479 
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,12.3219 
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.3219 
Tata Banking & PSU Debt Fund-Direct Plan-Growth,12.5479 
Tata Banking & PSU Debt Fund-Regular Plan-Growth,12.3219 
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH,1100.7169 
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH,1088.187 
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1030.7222 
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1103.925 
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1031.8452 
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1044.5611 
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1023.7148 
